"drug_concept_id","drug_concept_name","ancestor_concept_id","ancestor_concept_name"
988095,"ursodeoxycholate",21600510,"BILE THERAPY"
1517824,"niacin",21600510,"BILE THERAPY"
1517827,"niacin 100 MG Oral Tablet",21600510,"BILE THERAPY"
1517829,"niacin 250 MG Oral Tablet",21600510,"BILE THERAPY"
1517867,"niacin 50 MG Oral Tablet [B-3-50]",21600510,"BILE THERAPY"
1517957,"niacin 500 MG Oral Tablet [Niacor]",21600510,"BILE THERAPY"
1517987,"niacin 250 MG Extended Release Oral Tablet",21600510,"BILE THERAPY"
1517989,"niacin 500 MG Extended Release Oral Capsule",21600510,"BILE THERAPY"
19019301,"niacin 500 MG Oral Tablet",21600510,"BILE THERAPY"
19020516,"niacin 50 MG Oral Tablet",21600510,"BILE THERAPY"
19028797,"niacin 10 MG/ML Oral Solution",21600510,"BILE THERAPY"
19052483,"chenodeoxycholate 250 MG Oral Tablet",21600510,"BILE THERAPY"
19078988,"niacin 500 MG Extended Release Oral Tablet",21600510,"BILE THERAPY"
19104011,"ursodiol 200 MG Oral Capsule",21600510,"BILE THERAPY"
40068072,"niacin Oral Tablet",21600510,"BILE THERAPY"
40131776,"ursodeoxycholate Oral Tablet",21600510,"BILE THERAPY"
40133771,"ursodeoxycholate Oral Capsule [Actigall]",21600510,"BILE THERAPY"
40165331,"ursodiol 250 MG Oral Tablet",21600510,"BILE THERAPY"
40165332,"ursodiol 250 MG Oral Tablet [Urso]",21600510,"BILE THERAPY"
40165335,"ursodiol 300 MG Oral Capsule",21600510,"BILE THERAPY"
40165336,"ursodiol 300 MG Oral Capsule [Actigall]",21600510,"BILE THERAPY"
40165340,"ursodiol 50 MG/ML Oral Suspension",21600510,"BILE THERAPY"
40165342,"ursodiol 500 MG Oral Tablet",21600510,"BILE THERAPY"
40165343,"ursodiol 500 MG Oral Tablet [Urso Forte]",21600510,"BILE THERAPY"
40236542,"niacin 500 MG Extended Release Oral Tablet [Endur-Acin]",21600510,"BILE THERAPY"
40237543,"24 HR niacin 1000 MG Extended Release Oral Tablet",21600510,"BILE THERAPY"
40237545,"24 HR niacin 500 MG Extended Release Oral Tablet",21600510,"BILE THERAPY"
40237546,"24 HR niacin 500 MG Extended Release Oral Tablet [Niaspan]",21600510,"BILE THERAPY"
